Location,Population,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,13316,17.2341940076361
Montenegro,628062,97813,15.5737809324557
Czechia,10708982,1636836,15.284702131351
San Marino,33938,5067,14.9301667747068
Slovenia,2078932,242777,11.6779673409231
Luxembourg,625976,67642,10.8058455915243
Bahrain,1701583,181880,10.6888703048867
Serbia,6804596,694473,10.205940220404
United States,331002647,32512575,9.82245166154215
Sweden,10099270,988554,9.78837084264506
Israel,8655541,838697,9.68971205843748
Estonia,1326539,123344,9.29818120688498
Lithuania,2722291,251450,9.23670540732052
Netherlands,17134873,1551248,9.05316310193837
Belgium,11589616,999627,8.62519517471502
Panama,4314768,365619,8.47366532800837
France,68147687,5741537,8.42513847902131
Portugal,10196707,837715,8.21554448901984
Croatia,4105268,336918,8.20696724306428
Hungary,9660350,784837,8.12431226611872
Georgia,3989175,313742,7.86483420757425
Lebanon,6825442,529205,7.75341728784744
Liechtenstein,38137,2948,7.7300259590424
Cyprus,875899,67420,7.69723449849811
Switzerland,8654618,665585,7.69051851855275
Spain,46754783,3544945,7.58199433841881
Poland,37846605,2808052,7.41956114689812
Armenia,2963234,217407,7.33681511483737
North Macedonia,2083380,152814,7.33490769806756
Qatar,2881060,208232,7.2276176129619
Slovakia,5459643,383609,7.02626527045816
Jordan,10203140,715703,7.01453670144681
Brazil,212559409,14856888,6.98952263270548
European Union,444919060,31072821,6.98392669444191
Austria,9006400,624595,6.93501287972997
Malta,441539,30381,6.88070589460954
Argentina,45195777,3047417,6.74270297421814
Italy,60461828,4059821,6.71468451135814
United Kingdom,67886004,4439489,6.53962339571497
Kuwait,4270563,279085,6.53508682578854
Seychelles,98340,6373,6.48057758796014
Latvia,1886202,120378,6.38203119284149
Chile,19116209,1219064,6.37712215847818
North America,592072204,37755074,6.37676853345407
Monaco,39244,2468,6.28885944348181
Moldova,4033963,251504,6.23466303483696
Bosnia and Herzegovina,3280815,199463,6.07967837259949
Europe,748680069,45244198,6.04319520091298
Uruguay,3473727,206946,5.95746297852422
Maldives,540542,31931,5.90721905050856
South America,430759772,25281788,5.86911537319692
Palestine,5101416,298921,5.85956918628083
Bulgaria,6948445,406192,5.845797153176
Turkey,84339067,4929118,5.84440660222148
Colombia,50882884,2919805,5.73828519625578
Peru,32971846,1818689,5.51588467324517
Romania,19237682,1059331,5.50654179645968
Kosovo,1932774,103638,5.36213752875401
United Arab Emirates,9890400,527266,5.33108873250829
Ireland,4937796,250672,5.07659692705004
Costa Rica,5094114,257980,5.06427614301525
Ukraine,43733759,2143427,4.90108110761757
Albania,2877800,131327,4.56345124748071
Cape Verde,555988,24742,4.45009604523839
Denmark,5792203,255178,4.40554310682827
Germany,83783945,3462297,4.13241104844132
Paraguay,7132530,286667,4.0191488854586
Oman,5106622,197802,3.8734411906736
Belarus,9449321,362594,3.83724925843878
Greece,10423056,349936,3.35732629662548
Vatican,809,27,3.33745364647713
Canada,37742157,1258449,3.33433248131526
Russia,145934460,4784497,3.27852448283976
Belize,397621,12675,3.18770889867487
Azerbaijan,10139175,322761,3.18330633409523
Iran,83992953,2575737,3.06661083817353
Iraq,40222503,1086141,2.70033170238063
Bahamas,393248,10576,2.68939702172675
South Africa,59308690,1586148,2.67439392102574
Tunisia,11818618,314152,2.65811112602167
Bolivia,11673029,308984,2.64699076820592
Libya,6871287,178672,2.60026978934223
Saint Lucia,183629,4573,2.49034738521693
Dominican Republic,10847904,268070,2.47116862391113
Ecuador,17643060,391242,2.21754049467609
Honduras,9904608,215833,2.17911703320313
Norway,5421242,114436,2.11088160240771
Kazakhstan,18776707,385491,2.0530277220601
Botswana,2351625,47851,2.03480571944932
World,7794798729,153977028,1.97538170456075
Namibia,2540916,48654,1.91482126918009
Iceland,341250,6491,1.90212454212454
Mexico,128932753,2352964,1.82495443962172
Suriname,586634,10623,1.81083946719761
Guyana,786559,13656,1.73616982324276
Saint Vincent and the Grenadines,110947,1882,1.69630544313952
Eswatini,1160164,18461,1.59124054875
Finland,5540718,87529,1.57974110936525
Jamaica,2961161,46087,1.55638278364466
Kyrgyzstan,6524191,96561,1.48004557193375
India,1380004385,20282833,1.46976583701218
Morocco,36910558,512285,1.38790911803609
Barbados,287371,3884,1.35156296216389
Malaysia,32365998,420632,1.2996107828963
Guatemala,17915567,230095,1.28432999078399
Mongolia,3278292,41524,1.2666351868595
Antigua and Barbuda,97928,1232,1.25806715137652
Saudi Arabia,34813867,421300,1.21014996696575
Nepal,29136808,351005,1.20467897513001
Djibouti,988002,11247,1.13835801951818
El Salvador,6486201,69727,1.07500523033437
Sao Tome and Principe,219161,2311,1.05447593321805
Singapore,5850343,61252,1.04698134793122
Gabon,2225728,23201,1.04240050895707
Cuba,11326616,110644,0.976849572723221
Philippines,109581085,1067892,0.974522199702622
Asia,4639847425,41065294,0.885056990855685
Trinidad and Tobago,1399491,11706,0.836446965360978
Venezuela,28435943,201807,0.709689845699859
Indonesia,273523621,1686373,0.61653651477508
Equatorial Guinea,1402985,7694,0.548402156829902
Sri Lanka,21413250,115590,0.539805961262303
Lesotho,2142252,10733,0.501014819918478
Zambia,18383956,91804,0.499370211721569
Japan,126476458,613822,0.485325102953152
Bangladesh,164689383,765596,0.464872711314973
Comoros,869595,3846,0.442274852086316
Mauritania,4649660,18503,0.397943075407664
Pakistan,220892331,837523,0.37915440350892
Africa,1340598113,4586033,0.342088576399481
Kenya,53771300,160904,0.299237697433389
Ghana,31072945,92740,0.29845899704711
Algeria,43851043,122999,0.280492758176812
Uzbekistan,33469199,92320,0.275835701953907
Cameroon,26545864,72250,0.272170459398119
Myanmar,54409794,142858,0.262559347311626
Zimbabwe,14862927,38327,0.257869799131759
Gambia,2416664,5914,0.244717511412426
South Korea,51269183,124945,0.243703902985932
Senegal,16743930,40492,0.241830920220044
Dominica,71991,174,0.241696878776514
Egypt,102334403,231803,0.226515221865319
Ethiopia,114963583,259354,0.225596656986587
Mozambique,31255435,70031,0.224060231444547
Timor,1318442,2653,0.201222351836486
Congo,5518092,11016,0.199634221393917
Rwanda,12952209,25351,0.195727230775847
Guinea-Bissau,1967998,3737,0.189888404358135
Malawi,19129955,34123,0.178374700829145
Cote d'Ivoire,26378275,46173,0.175041772064322
Guinea,13132792,22368,0.170321741180398
Togo,8278737,13037,0.157475711572913
Afghanistan,38928341,60563,0.155575599792449
Bhutan,771612,1135,0.147094653789729
Grenada,112519,160,0.14219820652512
Tajikistan,9537642,13308,0.139531343281704
Madagascar,27691019,37989,0.13718888423716
Central African Republic,4829764,6521,0.135016949068319
Syria,17500657,23051,0.131715055040505
Papua New Guinea,8947027,11273,0.125997160844602
Australia,25499881,29865,0.117118193610394
Haiti,11402533,13135,0.115193703013181
Nicaragua,6624554,6989,0.105501442059345
Thailand,69799978,72788,0.104280835160149
Eritrea,3546427,3681,0.103794607925103
Oceania,42677809,43920,0.102910625051066
Cambodia,16718971,16299,0.097488057129832
Mauritius,1271767,1214,0.095457737148393
South Sudan,11193729,10613,0.094812014834377
Uganda,45741000,42032,0.091891301020966
Somalia,15893219,14121,0.088849212988256
Saint Kitts and Nevis,53192,45,0.084599187847797
Angola,32866268,27284,0.083015205742252
Nigeria,206139587,165215,0.080147148058466
Sudan,43849269,33944,0.07741064052858
Mali,20250834,13969,0.068979875100453
Benin,12123198,7884,0.065032345425687
Burkina Faso,20903278,13339,0.063812957948509
New Zealand,4822233,2629,0.054518311330042
Brunei,437483,228,0.05211631080522
Sierra Leone,7976985,4068,0.050996711163428
Liberia,5057677,2110,0.041718757445365
Burundi,11890781,4052,0.034076819680726
Democratic Republic of Congo,89561404,30071,0.033575847024462
Chad,16425859,4835,0.02943529467774
Niger,24206636,5286,0.021836987179879
Yemen,29825968,6390,0.021424283698018
Laos,7275556,1026,0.014102015021258
Fiji,896444,121,0.013497775655813
China,1439323774,102560,0.007125568399039
Marshall Islands,59194,4,0.006757441632598
Taiwan,23816775,1153,0.004841125635188
Vietnam,97338583,2995,0.003076888842732
Solomon Islands,686878,20,0.002911725226314
Samoa,198410,3,0.00151202056348
Vanuatu,307150,4,0.001302295295458
Micronesia (country),115021,1,0.000869406456212
Tanzania,59734213,509,0.000852107987093
Curacao,164100,0,0
Hong Kong,7496988,0,0
Isle of Man,85032,0,0
Turks and Caicos Islands,38718,0,0
Saint Helena,6071,0,0
Gibraltar,33691,0,0
Guernsey,67052,0,0
Bermuda,62273,0,0
Faeroe Islands,48865,0,0
Falkland Islands,3483,0,0
Montserrat,4999,0,0
Macao,649342,0,0
Greenland,56772,0,0
Anguilla,15002,0,0
International,0,721,0
Nauru,10834,0,0
Tonga,105697,0,0
Northern Cyprus,0,0,0
Aruba,106766,0,0
Cayman Islands,65720,0,0
Jersey,101073,0,0
